name,employees,technical_density,stage,domain,engineers,location,industry,founded_year,faang_alumni,patent_holders,pattern_match,pattern_match_score,success_probability
CloudWorks,133,55,Series B,smartdynamics.cloud,73.0,Austin,Healthcare,2018.0,11.0,0.0,Uber Ops-Heavy,84.0,35.0
DeepAnalytics,90,55,Seed,metadynamics.tech,49.0,Boston,Healthcare,2020.0,2.0,0.0,Enterprise B2B,83.0,49.0
CloudSolutions,90,56,Series A,smartsolutions.io,50.0,SF Bay Area,B2B SaaS,2022.0,1.0,0.0,Deep Tech R&D,92.0,40.800000000000004
NextSolutions,3891,46,Series C,techsolutions.data,1789.0,Seattle,AI/ML,2016.0,9.0,0.0,Airbnb Balanced,81.0,43.800000000000004
NextDynamics,10,68,Seed,metalabs.dev,6.0,NYC,Fintech,2020.0,1.0,0.0,Facebook Social,90.0,45.400000000000006
NextTechnologies,421,59,Series B,metalabs.dev,248.0,Boston,AI/ML,2020.0,17.0,0.0,Enterprise B2B,65.0,43.2
CloudAnalytics,52,29,Series A,techdynamics.app,15.0,LA,Healthcare,2017.0,4.0,0.0,Enterprise B2B,77.0,18.200000000000003
TechAnalytics,49,70,Series A,metaworks.app,34.0,NYC,AI/ML,2022.0,2.0,0.0,Enterprise B2B,74.0,51.0
QuantumLabs,14,30,Seed,quantumsystems.ai,4.0,Seattle,Developer Tools,2023.0,1.0,0.0,Airbnb Balanced,69.0,17.0
TechTechnologies,1587,71,Series C,metaworks.io,1126.0,Seattle,B2B SaaS,2016.0,10.0,14.0,Early Stripe DNA,68.0,62.800000000000004
SmartSolutions,111,73,Series C,nextsolutions.ai,81.0,Seattle,AI/ML,2023.0,5.0,3.0,Deep Tech R&D,68.0,56.400000000000006
DeepWorks,45,25,Seed,aidynamics.cloud,11.0,Seattle,AI/ML,2017.0,2.0,0.0,Enterprise B2B,72.0,15.0
QuantumLabs,88,59,Series A,cloudlabs.app,51.0,LA,B2B SaaS,2016.0,6.0,0.0,Early Stripe DNA,67.0,50.2
NextAnalytics,100,64,Series A,nextsolutions.data,64.0,LA,Security,2023.0,1.0,3.0,Enterprise B2B,69.0,43.2
SmartTechnologies,4336,54,Series C,quantumsolutions.ai,2341.0,NYC,Security,2019.0,29.0,0.0,Airbnb Balanced,77.0,38.2
TechWorks,266,56,Series B,quantumworks.tech,148.0,Austin,Developer Tools,2017.0,9.0,0.0,Airbnb Balanced,84.0,52.800000000000004
DataDynamics,23,70,Series A,neuralworks.dev,16.0,Seattle,Healthcare,2022.0,1.0,1.0,Uber Ops-Heavy,84.0,53.0
NextSolutions,71,29,Series A,deepventures.dev,20.0,Austin,Healthcare,2020.0,3.0,0.0,Uber Ops-Heavy,86.0,15.200000000000003
DeepTechnologies,349,62,Series A,nextworks.dev,216.0,Austin,Fintech,2019.0,30.0,12.0,Early Stripe DNA,84.0,42.6
TechWorks,294,56,Series B,aisystems.cloud,164.0,LA,Security,2015.0,24.0,0.0,Uber Ops-Heavy,86.0,38.800000000000004
DeepTechnologies,47,64,Series A,aisolutions.data,30.0,Seattle,AI/ML,2019.0,3.0,2.0,Airbnb Balanced,67.0,59.2
SmartLabs,75,33,Series A,nextlabs.io,24.0,LA,Healthcare,2020.0,1.0,0.0,Airbnb Balanced,92.0,16.400000000000002
NextVentures,99,65,Series A,metaventures.app,64.0,Boston,Fintech,2017.0,7.0,1.0,Uber Ops-Heavy,82.0,54.0
CloudSystems,313,43,Series A,techworks.data,134.0,SF Bay Area,Fintech,2022.0,21.0,0.0,Facebook Social,69.0,26.4
DeepVentures,63,75,Series A,deepsystems.app,47.0,Boston,Developer Tools,2023.0,6.0,3.0,Facebook Social,76.0,57.0
QuantumSolutions,87,61,Seed,neuralanalytics.app,53.0,Boston,Healthcare,2020.0,0.0,0.0,Enterprise B2B,80.0,49.800000000000004
NeuralAnalytics,71,34,Seed,quantumworks.cloud,24.0,Boston,B2B SaaS,2018.0,7.0,0.0,Deep Tech R&D,88.0,19.200000000000003
TechDynamics,396,64,Series B,neurallabs.app,253.0,Austin,Healthcare,2022.0,18.0,10.0,Facebook Social,76.0,50.2
DeepAnalytics,14,71,Series A,techtechnologies.cloud,9.0,NYC,Healthcare,2015.0,1.0,0.0,Airbnb Balanced,80.0,48.800000000000004
CloudAnalytics,19,41,Series A,smartanalytics.io,7.0,LA,B2B SaaS,2017.0,0.0,0.0,Deep Tech R&D,79.0,33.800000000000004
CloudLabs,458,56,Series A,nextworks.ai,256.0,Boston,Security,2017.0,26.0,0.0,Facebook Social,89.0,47.800000000000004
CloudSolutions,325,65,Series C,deepdynamics.io,211.0,LA,AI/ML,2016.0,1.0,5.0,Facebook Social,77.0,57.0
MetaTechnologies,78,49,Seed,smartsystems.cloud,38.0,Austin,B2B SaaS,2019.0,7.0,0.0,Facebook Social,86.0,39.2
NextVentures,121,59,Series A,deepanalytics.tech,71.0,Seattle,AI/ML,2016.0,4.0,0.0,Deep Tech R&D,83.0,49.2
DeepSolutions,96,71,Seed,neuraldynamics.data,68.0,LA,Fintech,2020.0,8.0,0.0,Deep Tech R&D,65.0,48.800000000000004
QuantumDynamics,22,68,Seed,aianalytics.tech,14.0,NYC,B2B SaaS,2015.0,2.0,0.0,Early Stripe DNA,95.0,63.400000000000006
DataWorks,406,32,Series C,deepsystems.app,129.0,LA,Security,2017.0,28.0,0.0,Early Stripe DNA,87.0,20.6
QuantumAnalytics,69,65,Seed,metadynamics.tech,44.0,NYC,Security,2016.0,2.0,0.0,Facebook Social,77.0,52.0
DataTechnologies,235,53,Series A,aiventures.ai,124.0,LA,Developer Tools,2016.0,4.0,0.0,Enterprise B2B,89.0,45.400000000000006
SmartWorks,92,53,Seed,techworks.io,48.0,Boston,E-commerce,2019.0,7.0,0.0,Early Stripe DNA,93.0,47.400000000000006
MetaAnalytics,91,27,Seed,clouddynamics.app,24.0,Boston,B2B SaaS,2023.0,7.0,0.0,Facebook Social,78.0,23.6
TechVentures,135,39,Series C,quantumworks.cloud,52.0,Boston,AI/ML,2020.0,10.0,0.0,Airbnb Balanced,77.0,22.200000000000003
NextWorks,1242,59,Series D,quantumanalytics.data,732.0,NYC,Fintech,2023.0,1.0,0.0,Facebook Social,86.0,43.2
NextTechnologies,59,65,Seed,datatechnologies.data,38.0,NYC,Fintech,2015.0,1.0,0.0,Deep Tech R&D,83.0,49.0
NeuralTechnologies,18,56,Series A,techlabs.tech,10.0,SF Bay Area,AI/ML,2015.0,1.0,0.0,Early Stripe DNA,71.0,54.800000000000004
DeepSolutions,447,34,Series C,datalabs.data,151.0,NYC,Developer Tools,2015.0,15.0,0.0,Enterprise B2B,66.0,24.200000000000003
SmartWorks,188,28,Series C,quantumsystems.dev,52.0,Boston,B2B SaaS,2016.0,3.0,0.0,Facebook Social,84.0,31.400000000000002
MetaDynamics,35,46,Series A,datasystems.tech,16.0,NYC,Security,2015.0,1.0,0.0,Airbnb Balanced,67.0,29.800000000000004
NextSystems,63,69,Seed,quantumsolutions.cloud,43.0,SF Bay Area,Fintech,2016.0,6.0,3.0,Uber Ops-Heavy,65.0,60.2
DeepAnalytics,10,30,Seed,metatechnologies.data,3.0,NYC,Fintech,2017.0,1.0,0.0,Enterprise B2B,79.0,27.0
CloudTechnologies,32,63,Seed,deepworks.data,20.0,Seattle,AI/ML,2021.0,0.0,0.0,Uber Ops-Heavy,68.0,56.400000000000006
AITechnologies,489,57,Series C,aianalytics.io,278.0,NYC,B2B SaaS,2017.0,21.0,0.0,Facebook Social,80.0,40.6
NextAnalytics,15,66,Seed,aiventures.tech,9.0,Seattle,Healthcare,2022.0,0.0,0.0,Deep Tech R&D,66.0,59.800000000000004
DataWorks,13,57,Series A,aitechnologies.cloud,7.0,Boston,AI/ML,2021.0,0.0,0.0,Deep Tech R&D,86.0,45.6
DataSolutions,24,39,Series A,metasolutions.app,9.0,NYC,B2B SaaS,2022.0,2.0,0.0,Facebook Social,66.0,34.2
MetaDynamics,88,36,Series A,cloudtechnologies.data,31.0,NYC,E-commerce,2020.0,4.0,0.0,Uber Ops-Heavy,75.0,22.8
CloudWorks,82,42,Seed,quantumtechnologies.app,34.0,NYC,Security,2020.0,3.0,0.0,Airbnb Balanced,84.0,28.6
NeuralSolutions,413,61,Series A,dataventures.dev,251.0,Boston,Developer Tools,2018.0,18.0,15.0,Facebook Social,73.0,38.800000000000004
MetaSolutions,226,45,Series A,deepsystems.cloud,101.0,SF Bay Area,Developer Tools,2015.0,1.0,0.0,Facebook Social,88.0,42.0
DataTechnologies,77,55,Series A,quantumsolutions.io,42.0,Boston,Security,2015.0,6.0,0.0,Uber Ops-Heavy,69.0,45.0
QuantumAnalytics,92,26,Seed,cloudtechnologies.dev,23.0,Boston,E-commerce,2015.0,7.0,0.0,Facebook Social,89.0,14.8
TechWorks,289,54,Series C,metadynamics.cloud,156.0,SF Bay Area,AI/ML,2021.0,24.0,0.0,Airbnb Balanced,87.0,52.2
NextLabs,36,64,Seed,neuraldynamics.io,23.0,SF Bay Area,Developer Tools,2020.0,3.0,0.0,Airbnb Balanced,76.0,46.2
AISystems,387,74,Series C,nextsolutions.cloud,286.0,SF Bay Area,E-commerce,2022.0,23.0,6.0,Deep Tech R&D,89.0,56.2
TechWorks,44,42,Series A,nextdynamics.app,18.0,Austin,Healthcare,2023.0,0.0,0.0,Facebook Social,87.0,40.6
NextWorks,249,64,Series B,aitechnologies.io,159.0,SF Bay Area,Developer Tools,2017.0,9.0,1.0,Early Stripe DNA,70.0,49.2
AILabs,28,34,Series A,smartventures.data,9.0,Boston,Fintech,2022.0,1.0,0.0,Facebook Social,79.0,37.2
AIDynamics,34,26,Seed,metadynamics.data,8.0,LA,Security,2020.0,3.0,0.0,Enterprise B2B,86.0,26.8
SmartSystems,255,33,Series C,smartsolutions.app,84.0,Seattle,AI/ML,2015.0,4.0,0.0,Airbnb Balanced,74.0,30.400000000000002
SmartSystems,182,59,Series C,cloudsystems.ai,107.0,NYC,B2B SaaS,2015.0,10.0,0.0,Enterprise B2B,69.0,51.2
TechDynamics,33,60,Seed,nextsystems.tech,19.0,Austin,Healthcare,2017.0,2.0,0.0,Early Stripe DNA,94.0,38.0
NextSystems,73,54,Seed,techdynamics.data,39.0,LA,AI/ML,2022.0,4.0,0.0,Enterprise B2B,86.0,37.2
DataTechnologies,326,69,Series B,techsystems.data,224.0,Boston,B2B SaaS,2019.0,0.0,12.0,Enterprise B2B,91.0,52.2
DeepSolutions,21,28,Series A,deepsolutions.dev,5.0,Seattle,Fintech,2015.0,0.0,0.0,Enterprise B2B,92.0,26.400000000000002
QuantumDynamics,4692,37,Series D,deeplabs.data,1736.0,Seattle,Developer Tools,2017.0,22.0,0.0,Facebook Social,76.0,31.6
SmartTechnologies,46,47,Series A,neuralworks.ai,21.0,LA,Developer Tools,2021.0,3.0,0.0,Airbnb Balanced,70.0,40.6
CloudSolutions,400,30,Series C,smarttechnologies.dev,120.0,Boston,AI/ML,2016.0,29.0,0.0,Enterprise B2B,89.0,26.0
CloudTechnologies,62,51,Series A,deepsystems.ai,31.0,NYC,Security,2021.0,2.0,0.0,Enterprise B2B,80.0,31.800000000000004
NeuralTechnologies,399,56,Series B,ailabs.dev,223.0,SF Bay Area,Fintech,2019.0,9.0,0.0,Deep Tech R&D,91.0,54.800000000000004
CloudTechnologies,93,51,Series A,ailabs.io,47.0,Seattle,Developer Tools,2016.0,9.0,0.0,Deep Tech R&D,76.0,48.800000000000004
QuantumWorks,65,65,Series A,nextlabs.dev,42.0,Seattle,Fintech,2015.0,1.0,2.0,Facebook Social,93.0,46.0
MetaDynamics,16,48,Series A,techanalytics.tech,7.0,Boston,E-commerce,2016.0,0.0,0.0,Deep Tech R&D,70.0,31.400000000000006
SmartAnalytics,31,45,Series A,nextworks.cloud,13.0,Boston,AI/ML,2017.0,0.0,0.0,Uber Ops-Heavy,81.0,35.0
CloudWorks,72,46,Series A,aisystems.cloud,33.0,NYC,Security,2018.0,1.0,0.0,Facebook Social,79.0,28.800000000000004
NextAnalytics,26,55,Seed,nextsystems.dev,14.0,Austin,Healthcare,2023.0,1.0,0.0,Uber Ops-Heavy,87.0,43.0
CloudSolutions,25,33,Seed,smartsystems.ai,8.0,NYC,B2B SaaS,2021.0,2.0,0.0,Early Stripe DNA,67.0,16.400000000000002
TechLabs,121,31,Series A,quantumworks.tech,37.0,SF Bay Area,B2B SaaS,2019.0,10.0,0.0,Early Stripe DNA,89.0,17.8
AISystems,2182,83,Late Stage,nextlabs.io,1811.0,NYC,Security,2019.0,30.0,11.0,Airbnb Balanced,70.0,72.4
DataLabs,358,29,Series C,neuralsolutions.data,103.0,NYC,AI/ML,2017.0,28.0,0.0,Enterprise B2B,65.0,16.200000000000003
DeepSystems,4388,69,Series D,quantumworks.ai,3027.0,Seattle,Developer Tools,2021.0,6.0,7.0,Facebook Social,68.0,55.2
NextAnalytics,24,56,Seed,neurallabs.io,13.0,Seattle,Developer Tools,2016.0,1.0,0.0,Airbnb Balanced,79.0,53.800000000000004
MetaAnalytics,327,60,Series A,metasolutions.dev,196.0,SF Bay Area,Security,2022.0,30.0,0.0,Deep Tech R&D,76.0,43.0
DataVentures,96,68,Series A,quantumworks.io,65.0,NYC,Developer Tools,2021.0,9.0,0.0,Deep Tech R&D,94.0,49.400000000000006
DeepVentures,35,37,Series A,datasolutions.dev,12.0,Austin,E-commerce,2022.0,2.0,0.0,Deep Tech R&D,89.0,37.6
QuantumVentures,92,47,Series A,quantumanalytics.ai,43.0,Austin,B2B SaaS,2016.0,4.0,0.0,Facebook Social,80.0,34.6
DataTechnologies,150,28,Series C,techsystems.app,42.0,Boston,E-commerce,2020.0,4.0,0.0,Airbnb Balanced,84.0,31.400000000000002
QuantumSolutions,19,75,Series A,smarttechnologies.app,14.0,Boston,AI/ML,2023.0,1.0,0.0,Early Stripe DNA,78.0,53.0
QuantumLabs,50,53,Series A,techsystems.cloud,26.0,LA,Security,2019.0,5.0,0.0,Uber Ops-Heavy,80.0,45.400000000000006
DataTechnologies,59,73,Series A,neuraltechnologies.app,43.0,Boston,Security,2017.0,4.0,0.0,Facebook Social,73.0,63.400000000000006
SmartDynamics,58,74,Series A,techlabs.cloud,42.0,SF Bay Area,Fintech,2020.0,2.0,2.0,Enterprise B2B,65.0,69.2
NextVentures,22,47,Series A,nextlabs.data,10.0,NYC,Fintech,2018.0,2.0,0.0,Airbnb Balanced,83.0,29.6
CloudLabs,256,46,Series A,neuraldynamics.io,117.0,Austin,E-commerce,2021.0,18.0,0.0,Enterprise B2B,93.0,39.800000000000004
TechDynamics,99,62,Series A,metaventures.tech,61.0,Boston,B2B SaaS,2022.0,1.0,1.0,Airbnb Balanced,80.0,55.6
NextVentures,185,44,Series C,aitechnologies.data,81.0,SF Bay Area,Security,2023.0,6.0,0.0,Airbnb Balanced,73.0,26.200000000000003
DeepWorks,83,39,Series A,deepworks.cloud,32.0,Seattle,AI/ML,2016.0,8.0,0.0,Facebook Social,78.0,27.200000000000003
SmartVentures,19,57,Series A,neuraldynamics.ai,10.0,Austin,Developer Tools,2019.0,1.0,0.0,Deep Tech R&D,89.0,52.6
QuantumSolutions,12,61,Seed,quantumanalytics.data,7.0,Boston,Security,2021.0,0.0,0.0,Airbnb Balanced,79.0,42.800000000000004
